Dates,Monthly GDP
Jan-07,84.7
Feb-07,85
Mar-07,85.3
Apr-07,85.4
May-07,85.8
Jun-07,85.9
Jul-07,85.9
Aug-07,86.4
Sep-07,86.5
Oct-07,86.2
Nov-07,86.7
Dec-07,87.1
Jan-08,87.2
Feb-08,87.6
Mar-08,87
Apr-08,87.5
May-08,86.7
Jun-08,86.6
Jul-08,86.1
Aug-08,85.8
Sep-08,84.8
Oct-08,84.6
Nov-08,83.4
Dec-08,83.2
Jan-09,82.4
Feb-09,82.3
Mar-09,81.5
Apr-09,82.3
May-09,81.3
Jun-09,81.6
Jul-09,82.1
Aug-09,81.6
Sep-09,81.7
Oct-09,81.9
Nov-09,81.9
Dec-09,82.4
Jan-10,81.9
Feb-10,83.1
Mar-10,83.8
Apr-10,83.6
May-10,84
Jun-10,84
Jul-10,84.1
Aug-10,84.4
Sep-10,84.5
Oct-10,84.8
Nov-10,84.6
Dec-10,83.9
Jan-11,84.3
Feb-11,84.7
Mar-11,84.9
Apr-11,84.2
May-11,85
Jun-11,85
Jul-11,85.1
Aug-11,84.9
Sep-11,85.1
Oct-11,84.2
Nov-11,85.3
Dec-11,86.1
Jan-12,86.5
Feb-12,85.6
Mar-12,86
Apr-12,85.4
May-12,86.7
Jun-12,85.6
Jul-12,86.8
Aug-12,87.3
Sep-12,86.3
Oct-12,86.7
Nov-12,86.9
Dec-12,86.6
Jan-13,86.4
Feb-13,87.2
Mar-13,87.2
Apr-13,87.3
May-13,87.6
Jun-13,87.8
Jul-13,88
Aug-13,88.3
Sep-13,88.3
Oct-13,88.9
Nov-13,88.8
Dec-13,88.6
Jan-14,89.1
Feb-14,89.5
Mar-14,89.9
Apr-14,90.2
May-14,90.3
Jun-14,90.6
Jul-14,91.1
Aug-14,91
Sep-14,91.4
Oct-14,91.7
Nov-14,91.6
Dec-14,91.9
Jan-15,91.7
Feb-15,92
Mar-15,92
Apr-15,92.6
May-15,92.3
Jun-15,92.2
Jul-15,92.7
Aug-15,92.5
Sep-15,92.7
Oct-15,93
Nov-15,92.9
Dec-15,93.3
Jan-16,93.2
Feb-16,93.5
Mar-16,93.7
Apr-16,94.2
May-16,94
Jun-16,94.1
Jul-16,94.2
Aug-16,94.5
Sep-16,95
Oct-16,94.7
Nov-16,95.2
Dec-16,95.9
Jan-17,96.1
Feb-17,96.1
Mar-17,96.2
Apr-17,96.6
May-17,96.8
Jun-17,96.8
Jul-17,97
Aug-17,97.2
Sep-17,97.6
Oct-17,97.6
Nov-17,97.8
Dec-17,98.1
Jan-18,97.8
Feb-18,97.9
Mar-18,98
Apr-18,97.8
May-18,98.1
Jun-18,98.4
Jul-18,98.3
Aug-18,98.5
Sep-18,98.6
Oct-18,98.5
Nov-18,98.8
Dec-18,98.5
Jan-19,98.9
Feb-19,99.5
Mar-19,99.6
Apr-19,99.3
May-19,99.6
Jun-19,100.1
Jul-19,100.6
Aug-19,100.3
Sep-19,100.6
Oct-19,100.5
Nov-19,100.3
Dec-19,100.8
Jan-20,100.8
Feb-20,100.4
Mar-20,92.8
Apr-20,74.6
May-20,76.2
Jun-20,83.6
Jul-20,89.1
Aug-20,91.8
Sep-20,93
Oct-20,93.6
Nov-20,91.7
Dec-20,92.9
Jan-21,90.3
Feb-21,91.3
Mar-21,93.3
Apr-21,96.8
May-21,98.3
Jun-21,99.4
Jul-21,98.9
Aug-21,99.8
Sep-21,100.4
Oct-21,100.7
Nov-21,101.4
Dec-21,100.9
Jan-22,101.4
Feb-22,102
Mar-22,102.1
Apr-22,101.9
May-22,102.6
Jun-22,101.6
Jul-22,102
Aug-22,102.1
Sep-22,101.5
Oct-22,102.1
Nov-22,102.2
Dec-22,101.9
Jan-23,102.4
Feb-23,102.6
Mar-23,102.3
Apr-23,102.5
May-23,102.3
Jun-23,103
Jul-23,102.4
